price,class,weight,condition,taste grade,size,age,type,origin
1.1,4,229,4,9,230,13,Hass,South Africa
0.81,3,125,4,7,126,22,Pinkerton,Peru
1.58,3,275.3,5,9,217.5,22,Reed,Israel
0.62,3,119,3,7,120,22,Hass,Peru
0.72,5,315,4,8,165,18,Hass,Israel
0.94,3,141,4,7,101,23,Pinkerton,South Africa
0.93,2,198,3,7,100,13,Gwen,Israel
1.21,5,273,3,8,214,31,Gwen,Chile
1.18,4,283,3,9,284,8,Hass,Peru
0.68,4,225,3,7,226,4,Gwen,South Africa
0.68,3,242,3,8,243,6,Gwen,Peru
1.24,5,325,4,8,326,17,Hass,Other
0.79,4,185,3,8,186,10,Reed,Peru
0.98,3,215,4,8,160,20,Reed,Peru
0.67,3,126,3,7,127,22,Reed,Chile
0.86,3,251.9,5,8,252.9,16,Reed,Peru
0.89,3,154,3,8,155,2,Hass,South Africa
0.79,3,166,3,7,112,14,Gwen,Spain
0.7,3,277,5,7,178,32,Gwen,Spain
1.26,4,272,3,10,273,10,Reed,Israel
0.67,4,224,3,7,225,5,Pinkerton,UK
0.6,3,100,4,7,101,17,Reed,South Africa
1.56,5,320,3,8,161,18,Hass,Spain
1.31,5,477,4,11,308,16,Pinkerton,South Africa
0.7,3,126,4,7,127,16,Pinkerton,Chile
0.91,4,275,5,7,226,35,Reed,South Africa
0.73,4,238,3,8,239,5,Hass,Chile
0.72,3,179,5,7,110,18,Pinkerton,Other
1.14,4,343,4,10,240,11,Pinkerton,Peru
0.75,4,176,3,7,89,21,Reed,Peru
0.84,3,104,3,7,105,26,Pinkerton,Spain
0.78,3,141,4,7,92,21,Pinkerton,Peru
1.04,4,345,3,10,346,6,Reed,Israel
0.76,3,235,3,8,236,6,Gwen,South Africa
0.73,4,190,3,7,191,9,Hass,Chile
0.73,2,202,3,7,102,24,Hass,Peru
0.73,3,168,3,8,169,19,Pinkerton,Israel
0.69,3,96,3,6,97,23,Pinkerton,Chile
1.23,3,214,3,9,191,32,Pinkerton,Chile
0.69,5,266,5,7,267,20,Reed,Chile
0.82,3,277,3,9,199,5,Gwen,Peru
0.61,2,161,4,7,162,14,Reed,South Africa
0.71,2,103,3,7,77.5,5,Gwen,Israel
0.63,4,198,3,7,199,11,Hass,Chile
1.37,5,352,4,10,353,6,Gwen,Other
0.56,3,120,3,7,121,19,Pinkerton,South Africa
0.79,3,158,3,8,130,27,Reed,Chile
1.02,3,158,3,8,130,27,Hass,Peru
1.2,4,330,3,7,240,25,Gwen,Peru
0.64,3,196,3,7,197,18,Reed,Israel
0.6,4,116,4,7,117,15,Pinkerton,Peru
0.69,3,181,5,7,122,13,Hass,South Africa
0.8,3,232,3,9,233,9,Pinkerton,Chile
1.15,3,207,5,9,128,37,Gwen,Other
0.9,3,198,4,7,145,30,Hass,Peru
1.02,3,219,4,8,220,12,Gwen,Chile
1.35,3,292,3,8,293,23,Pinkerton,South Africa
0.67,3,121,3,7,122,22,Pinkerton,Israel
0.75,3,234,4,8,147,14,Gwen,Peru
0.82,3,167,4,7,118,27,Reed,Peru
0.59,2,124,4,8,125,12,Pinkerton,Spain
1.01,4,314,4,10,315,10,Gwen,Peru
0.83,5,203,4,7,204,26,Gwen,Israel
0.94,4,231,3,8,232,12,Hass,Peru
0.91,3,126,5,6,71,38,Gwen,Other
0.66,3,154,4,7,117,13,Pinkerton,Spain
0.71,3,208,3,7,109,16,Gwen,South Africa
0.84,4,323,3,9,253,6,Hass,Peru
1.06,3,438,3,8,279,40,Reed,Israel
0.87,3,159,3,8,160,3,Pinkerton,Peru
0.6,2,88,4,6,89,25,Reed,Peru
0.57,4,157,3,6,158,23,Pinkerton,Peru
0.88,4,161,4,7,162,32,Hass,Chile
0.99,3,240,3,8,157,19,Pinkerton,Israel
0.76,3,145,3,7,146,11,Reed,Chile
0.76,2,77,3,6,78,22,Hass,Peru
0.81,4,210,5,7,173,32,Reed,Spain
1.08,3,291,3,9,292,10,Reed,Israel
1.66,4,275,3,8,199,35,Hass,South Africa
0.81,3,210,3,8,163,18,Pinkerton,South Africa
0.65,4,216,3,8,137,14,Pinkerton,Spain
1.13,5,232,5,7,173,31,Gwen,Peru
0.79,4,207,3,7,208,5,Reed,Chile
0.61,3,106,4,7,107,11,Hass,Peru
0.99,4,201,3,8,145,11,Hass,Chile
1.1,3,395,3,9,247,10,Reed,Chile
0.81,3,201,3,8,140,2,Reed,Chile
1,4,214,3,9,215,5,Pinkerton,South Africa
0.6,3,132,4,7,133,21,Reed,Chile
0.61,4,202,3,7,102,17,Hass,South Africa
0.81,4,259,4,8,135,17,Pinkerton,Peru
0.75,2,119,3,6,120,13,Hass,South Africa
0.87,3,117,3,8,118,2,Pinkerton,Chile
0.99,2,111,3,7,112,32,Pinkerton,Israel
0.88,5,282,4,8,156,17,Reed,Spain
0.6,3,161,4,7,102,19,Hass,Other
0.78,3,106,4,7,95,32,Hass,Peru
0.85,4,203,4,8,139,20,Reed,Chile
1.21,4,367,4,9,368,9,Reed,Other
1.19,4,255,3,8,238,38,Hass,Other
0.79,2,242,3,7,243,4,Reed,Israel
0.65,5,226,4,8,114,20,Reed,Israel
0.86,3,143,3,7,99,24,Pinkerton,Peru
0.88,3,136,3,8,137,10,Pinkerton,South Africa
0.9,3,111,3,7,112,24,Pinkerton,Spain
0.67,3,125,4,7,126,22,Reed,Spain
2.35,4,518,3,12,355,5,Reed,Chile
0.72,1,70,3,7,71,26,Hass,Israel
0.61,3,118,4,7,119,18,Pinkerton,Chile
0.98,5,396,3,9,251,8,Reed,Spain
0.7,4,264,3,8,163,18,Reed,Israel
0.64,3,127,3,7,128,35,Reed,Peru
0.7,4,176,4,8,177,17,Reed,Israel
0.64,5,206,3,7,104,19,Reed,Spain
0.8,3,178,3,7,179,19,Reed,Chile
1.19,3,340,3,10,341,7,Gwen,Other
0.8,3,191,3,7,117,14,Pinkerton,Other
0.78,3,202,4,7,102,15,Hass,Other
0.74,3,158,3,7,119,15,Gwen,Chile
0.66,2,134,5,5,71,24,Reed,Peru
1.12,4,268,3,9,269,7,Gwen,South Africa
0.98,3,268,4,8,162,14,Hass,Other
0.74,3,137,5,7,138,19,Gwen,South Africa
0.67,3,156,3,7,157,22,Pinkerton,South Africa
0.66,3,216,4,7,168,14,Pinkerton,Peru
0.69,3,134,3,7,135,22,Reed,South Africa
1.21,4,388,3,10,258,12,Gwen,Spain
1,4,259,4,8,260,13,Hass,Other
0.79,3,112,3,8,83,4,Pinkerton,Peru
0.77,5,197,3,7,133,11,Hass,Spain
0.75,3,122,3,6,123,40,Hass,Other
0.66,3,195,4,7,133,15,Gwen,Peru
0.71,2,135,3,7,107,24,Hass,Chile
0.65,3,167,3,7,168,11,Pinkerton,Other
0.83,4,238,4,7,169,32,Pinkerton,Chile
0.93,4,244,5,7,245,20,Hass,Other
0.57,2,105,3,7,106,8,Reed,Other
1.14,4,313,3,9,215,9,Pinkerton,Peru
1.36,5,409,4,10,210,11,Pinkerton,Other
0.66,4,149,4,8,111,17,Pinkerton,Other
0.9,3,190,3,8,191,11,Pinkerton,Chile
0.95,4,133,4,6,134,40,Hass,Spain
0.93,3,223,3,8,144,15,Pinkerton,Other
0.69,3,165,3,7,123,14,Hass,Israel
0.57,3,119,3,6,120,20,Gwen,Peru
1.11,3,214,4,8,215,20,Gwen,South Africa
0.77,3,218,4,7,143,19,Pinkerton,Spain
0.62,3,106,3,7,107,24,Pinkerton,Other
0.65,3,169,3,8,170,6,Pinkerton,South Africa
0.79,4,197,5,7,114,33,Reed,Peru
0.82,3,215,3,8,216,4,Hass,UK
0.8,3,191,3,7,192,8,Reed,Peru
0.75,3,135,4,7,136,17,Gwen,Other
0.61,3,86,4,6,87,26,Reed,UK
0.68,3,194,3,8,195,9,Pinkerton,Other
0.83,3,101,3,7,102,23,Pinkerton,Peru
0.62,3,130,4,7,91,15,Gwen,Chile
0.66,3,91,4,6,92,19,Pinkerton,Other
1.14,4,248,4,9,164,18,Reed,Peru
1,3,244,3,8,245,3,Hass,Spain
0.79,3,101,3,7,102,35,Reed,Israel
0.58,2,90,3,6,91,26,Pinkerton,Israel
0.82,6,230,3,7,161,33,Reed,Chile
0.7,4,155,3,8,156,9,Hass,South Africa
0.96,3,127,3,8,107,2,Reed,Other
0.93,4,224,3,9,225,12,Hass,Israel
0.82,3,271.4,3,9,272.4,5,Hass,Chile
0.83,4,172,3,8,173,14,Gwen,South Africa
0.67,2,85,3,6,86,32,Gwen,Other
1.71,5,330,3,9,188,21,Pinkerton,Other
0.81,3,225,3,8,226,7,Reed,South Africa
1.34,2,390,3,8,196,24,Gwen,Chile
0.82,2,132,4,8,133,24,Gwen,Peru
1.01,4,276,3,10,277,7,Gwen,Spain
0.66,3,175,3,7,136,20,Reed,Peru
0.88,4,233,3,8,234,11,Gwen,Other
0.7,3,222,4,8,179,18,Pinkerton,Other
0.71,3,202,3,7,203,9,Reed,Peru
0.76,3,125,5,7,126,26,Reed,South Africa
0.84,2,151,3,8,152,5,Pinkerton,Israel
0.65,4,172,4,7,113,14,Pinkerton,Peru
0.63,3,143,4,7,99,20,Reed,South Africa
0.87,3,148,3,7,149,5,Pinkerton,Peru
0.99,2,145,3,7,124,35,Gwen,Israel
0.85,4,228,5,7,229,20,Reed,Peru
0.69,6,294,3,8,179,14,Gwen,Spain
0.61,2,100,3,6,101,20,Gwen,Israel
0.83,3,248,5,7,163,24,Reed,Other
1.3,5,376,3,10,377,12,Reed,Peru
0.78,3,222,5,7,165,15,Hass,Israel
0.78,4,197,3,7,168,39,Pinkerton,Other
1.11,3,383,3,10,354,9,Hass,Peru
0.83,6,441,4,9,236,18,Gwen,Israel
0.62,3,143,4,7,144,17,Reed,Israel
0.61,2,83,3,6,84,27,Reed,Israel
0.81,2,143,2,7,144,32,Gwen,Israel
0.62,3,130,4,6,131,22,Pinkerton,South Africa
0.84,2,103,4,7,80,34,Reed,Spain
0.74,3,274,3,9,275,10,Gwen,Peru
2.48,4,365,3,9,184,7,Hass,Peru
0.58,2,72,3,6,73,22,Pinkerton,Peru
0.64,4,201,4,7,202,15,Hass,South Africa
0.84,3,156,4,6,78,34,Reed,Other
0.65,3,181,4,7,125,14,Hass,Chile
0.81,4,336,3,9,337,6,Reed,South Africa
0.78,3,151,3,8,152,10,Pinkerton,Peru
0.72,3,140,3,7,81,22,Reed,Chile
0.64,3,173,3,7,174,11,Reed,Israel
0.93,2,142,5,7,143,31,Hass,South Africa
0.75,4,236,4,7,119,22,Pinkerton,Israel
0.69,3,158,4,7,121,15,Gwen,Israel
0.64,3,123,3,7,124,14,Reed,Israel
1.02,4,246,3,8,247,5,Gwen,Other
1.09,3,166,3,8,147,36,Pinkerton,Israel
0.63,3,127,4,7,128,20,Gwen,Peru
0.87,3,210,3,10,133,14,Gwen,Israel
0.79,2,77,3,5,78,30,Pinkerton,South Africa
0.74,1,76,5,5,77,28,Hass,Peru
0.67,4,170,4,7,171,11,Hass,Peru
0.67,3,112,3,7,113,22,Pinkerton,South Africa
0.78,2,107,3,7,108,28,Reed,Peru
0.66,3,207,3,8,143,14,Pinkerton,Spain
2.9,4,505,3,11,476,13,Gwen,Israel
1.59,4,531,4,11,532,10,Pinkerton,Israel
0.8,2,104,4,7,105,27,Gwen,South Africa
0.61,3,170,4,7,171,18,Gwen,South Africa
0.63,3,130,3,7,131,20,Gwen,Israel
0.71,3,108,3,7,59,22,Pinkerton,South Africa
0.74,3,265.3,3,8,266.3,5,Pinkerton,Chile
0.81,3,229,5,8,230,20,Pinkerton,Israel
1.08,4,382,3,9,286,2,Hass,South Africa
0.81,4,221,3,8,222,8,Gwen,Israel
0.77,3,239,3,6,125,37,Gwen,Peru
0.69,4,260,4,7,162,17,Gwen,UK
0.57,2,86,3,6,87,30,Gwen,Peru
2.18,5,383,5,9,264,38,Reed,South Africa
1.09,4,350,3,9,351,5,Reed,Spain
0.71,3,242,4,8,175,11,Gwen,Peru
0.74,4,272,3,9,273,9,Reed,Peru
0.82,5,250,3,7,186,14,Pinkerton,South Africa
0.77,3,167,3,7,115,13,Reed,Chile
1,5,290,3,8,146,12,Gwen,Spain
0.85,2,164,4,7,115,22,Hass,South Africa
0.76,4,189,4,7,190,17,Reed,Israel
0.96,4,295,4,8,179,15,Reed,Israel
0.73,4,216,3,9,217,9,Pinkerton,Spain
0.92,4,328,3,8,228,11,Gwen,South Africa
0.9,3,197,5,8,128,30,Gwen,Peru
1.18,4,336,3,10,337,9,Reed,Israel
0.65,3,132,3,7,133,9,Reed,Peru
0.81,3,265,3,8,266,10,Hass,Chile
0.77,3,203,3,7,134,19,Hass,Peru
0.65,3,159,3,7,110,21,Hass,Israel
3.05,4,455,3,10,261,6,Gwen,Spain
0.71,3,244,3,8,245,7,Pinkerton,Peru
0.92,3,194,4,7,98,24,Pinkerton,Peru
0.6,3,204,3,8,205,5,Reed,Israel
0.69,3,220,4,7,113,19,Gwen,South Africa
1.04,3,192,4,8,97,36,Pinkerton,South Africa
0.9,4,180,4,8,141,18,Gwen,Spain
0.95,4,218,3,8,219,12,Reed,Israel
0.9,2,101,4,6,102,37,Gwen,Israel
0.99,4,332,5,8,223,20,Reed,South Africa
1.14,4,237,5,8,199,31,Reed,Peru
0.6,5,166,3,6,167,35,Pinkerton,Peru
2.46,5,365,5,10,338,33,Reed,UK
1.61,4,429,3,11,270,8,Hass,Peru
1.62,4,429,3,11,270,8,Gwen,Spain
0.69,4,195,3,8,136,14,Reed,Spain
0.84,3,259,5,8,173,24,Hass,Spain
0.76,3,193,4,8,194,11,Pinkerton,South Africa
0.89,2,147,4,7,118,35,Hass,Spain
0.66,4,80,3,6,81,26,Hass,Israel
1.13,5,315,3,9,316,2,Pinkerton,Israel
0.87,3,203,3,8,204,12,Hass,South Africa
0.62,3,145,3,7,146,6,Hass,Spain
0.63,3,151,3,7,152,17,Hass,South Africa
0.62,2,124,3,6,97,33,Pinkerton,Israel
0.63,2,124,3,6,97,33,Pinkerton,Peru
0.66,3,303,3,9,304,11,Pinkerton,Chile
1.06,4,205,4,9,206,33,Hass,Peru
0.59,3,100,2,7,101,23,Pinkerton,Spain
1.1,3,237,4,9,160,14,Gwen,South Africa
1.18,4,280,3,9,190,23,Hass,Chile
0.66,6,224,4,7,225,22,Gwen,Peru
0.68,3,181,3,8,182,10,Reed,South Africa
0.97,2,107,3,7,108,32,Gwen,Peru
1.23,4,249,5,9,250,17,Pinkerton,Israel
0.65,4,196,3,7,197,6,Gwen,Chile
0.9,3,293,3,9,187,5,Gwen,Israel
1.1,4,151,5,7,152,36,Reed,South Africa
0.65,3,142,3,7,143,22,Reed,Peru
0.64,3,174,3,7,175,22,Pinkerton,South Africa
0.84,4,256,4,7,257,19,Gwen,South Africa
1.01,4,304,3,9,243,3,Hass,Chile
0.79,3,250,3,8,131,21,Gwen,Spain
0.69,4,127.5,4,6,128.5,10,Reed,South Africa
0.9,4,258,3,8,259,6,Reed,Peru
0.57,4,100,3,6,101,26,Hass,Peru
0.63,4,100,3,6,101,26,Reed,South Africa
0.7,2,107,4,6,108,30,Hass,Chile
0.6,3,139,4,7,140,11,Hass,Israel
0.76,4,250,3,7,126,16,Gwen,Israel
0.68,1,56,3,4,57,18,Reed,Other
1.16,4,227,3,9,228,18,Reed,Spain
0.69,3,190,4,7,131,22,Reed,Other
0.8,2,99,5,7,80,38,Pinkerton,Spain
0.64,4,155,4,7,106,17,Pinkerton,Other
0.75,4,220,5,7,111,22,Gwen,Chile
0.68,4,191,3,7,192,5,Gwen,Other
0.78,4,175,4,7,176,22,Gwen,South Africa
1.19,3,133,3,7,134,31,Gwen,Israel
1.01,3,244,3,9,199,7,Pinkerton,UK
0.82,3,164,3,7,165,9,Reed,Spain
0.75,5,276,4,9,277,14,Hass,UK
0.71,4,182,3,7,183,9,Reed,Israel
0.94,3,211,3,8,135,2,Hass,Spain
1.1,5,304,4,8,165,18,Gwen,Other
0.82,3,184,3,7,185,9,Reed,Spain
1,4,299,3,9,300,6,Pinkerton,Peru
1.12,4,352,3,10,353,10,Reed,Israel
1.1,4,244,4,8,192,10,Reed,Chile
0.71,4,209,3,7,138,11,Reed,South Africa
0.67,3,143,3,7,144,9,Gwen,Israel
0.69,4,218,5,7,111,22,Reed,Israel
0.88,4,218,5,7,111,22,Reed,South Africa
0.75,5,345,3,9,346,5,Reed,Chile
0.68,3,145,3,7,146,9,Pinkerton,Peru
1.05,4,323,3,10,324,5,Hass,Peru
0.81,3,164,3,7,112,27,Gwen,Israel
0.66,3,159,3,7,107,8,Hass,Peru
0.93,4,202,3,7,203,20,Hass,Other
0.8,3,130,3,7,131,39,Pinkerton,Other
0.66,2,138,1,6,139,22,Gwen,Other
1.24,3,404,3,10,304,11,Reed,South Africa
0.76,4,213,3,7,214,6,Reed,Peru
0.9,4,255,3,8,159,17,Pinkerton,Peru
1.58,5,480,3,11,349,7,Gwen,Spain
1.11,4,251,4,8,252,17,Pinkerton,South Africa
0.74,3,141,4,7,142,12,Reed,Peru
0.64,3,165,3,7,117,14,Hass,South Africa
0.77,4,212,3,8,213,9,Reed,Israel
0.75,4,204,3,7,139,22,Gwen,Chile
0.72,4,155,3,7,156,21,Pinkerton,Spain
0.84,3,198,4,9,199,14,Hass,Other
0.71,3,160,3,8,161,5,Hass,Spain
1.22,4,330,3,8,331,22,Hass,Israel
1.38,4,384,4,10,385,12,Reed,Israel
0.71,2,122,5,7,123,23,Pinkerton,Israel
0.88,5,272,4,7,151,21,Gwen,Other
0.74,4,194,1,8,195,19,Reed,Chile
0.75,3,216,3,7,127,37,Hass,Peru
0.66,4,153,4,7,154,17,Gwen,Spain
0.9,3,171,3,8,130,4,Reed,Other
0.73,4,373,4,7,216,15,Hass,Peru
0.73,2,94,4,7,95,28,Gwen,South Africa
0.8,3,175,3,8,176,9,Reed,Peru
0.7,4,182,3,7,183,9,Reed,Peru
0.98,3,151,3,9,134,6,Reed,Spain
0.81,3,129,3,8,130,6,Gwen,Other
0.66,3,157,3,7,158,7,Pinkerton,Peru
0.74,4,193,3,8,194,8,Gwen,South Africa
1.14,4,284,4,10,285,11,Reed,South Africa
0.65,3,155,3,7,156,10,Pinkerton,South Africa
0.87,2,83.3,3,5,84.3,5,Gwen,Other
0.97,3,299,4,8,300,14,Pinkerton,South Africa
0.92,3,200,3,9,201,8,Reed,Other
0.72,4,239,3,7,240,33,Hass,Israel
0.91,3,291,4,7,154,18,Reed,Chile
0.91,4,208.5,3,7,162,19,Reed,Other
0.79,4,220,5,7,130,19,Pinkerton,Spain
0.73,3,186,3,8,187,3,Hass,Israel
1.75,5,607,3,12,608,7,Gwen,Spain
0.84,2,95,3,7,96,26,Pinkerton,Israel
0.96,3,160,5,7,161,22,Pinkerton,Other
0.89,3,225,3,8,226,11,Hass,Chile
0.75,3,228,4,8,229,12,Reed,Peru
0.75,2,94,3,7,95,37,Pinkerton,Other
0.64,3,153,5,7,104,8,Gwen,Other
0.69,5,219,4,7,220,24,Pinkerton,Chile
1.54,3,235,4,8,178,15,Hass,Chile
0.76,4,144,3,7,121,16,Pinkerton,Peru
0.74,3,220,3,8,221,5,Reed,Israel
0.71,4,229,3,9,230,10,Gwen,Spain
1.27,4,404,3,11,405,11,Reed,Israel
1.28,4,261,5,8,193,33,Hass,Peru
0.63,3,149,3,7,150,5,Hass,Spain
0.87,4,245,3,8,246,6,Gwen,Spain
1.07,4,171,3,9,145,15,Gwen,South Africa
1.04,5,487,3,10,348,12,Pinkerton,Chile
1.15,3,313,3,10,314,10,Hass,Peru
0.8,2,127,3,8,128,7,Gwen,Other
0.92,3,212,3,8,155,14,Hass,Peru
0.62,3,167,5,7,168,22,Reed,South Africa
0.59,3,207,3,7,208,15,Gwen,Chile
0.97,2,142,3,8,108,22,Gwen,Other
0.72,3,125,4,6,126,13,Pinkerton,South Africa
0.6,3,94,4,7,95,20,Pinkerton,Other
0.77,3,192,3,7,193,17,Hass,South Africa
1.31,3,354.5,3,10,262,5,Gwen,South Africa
0.86,3,126,3,7,127,16,Reed,Israel
0.83,5,234,3,7,131,15,Gwen,Israel
0.87,3,259,5,8,145,14,Gwen,Israel
1.66,3,397,3,10,327,14,Hass,Israel
0.71,3,122,3,7,123,18,Reed,Israel
0.62,3,140,4,6,141,15,Gwen,Israel
1.02,3,236,4,8,172,12,Reed,South Africa
1.12,3,187,4,8,188,20,Gwen,Peru
0.9,3,283,3,9,284,6,Hass,Spain
0.85,3,226,3,8,227,9,Pinkerton,Israel
1.03,3,197,4,9,178,13,Pinkerton,Spain
0.92,4,314,5,9,178,18,Hass,Chile
0.64,3,124,5,7,125,11,Pinkerton,South Africa
1.32,4,345,3,10,346,4,Gwen,UK
0.72,3,257,4,8,258,10,Hass,Peru
0.62,3,151,3,7,152,12,Hass,Chile
0.73,4,239,3,9,240,11,Pinkerton,Spain
0.71,3,98,3,6,99,22,Reed,Other
0.49,1,43,2,4,44,36,Gwen,Spain
0.82,3,148,3,7,149,22,Hass,Peru
0.7,4,185,3,8,186,8,Gwen,Peru
0.72,3,227,4,7,193,24,Gwen,Spain
0.72,3,181,3,8,182,9,Hass,Peru
0.67,2,161,3,6,162,30,Pinkerton,Israel
1.17,3,384,3,10,385,7,Gwen,South Africa
1.45,4,411,3,9,314,31,Reed,Chile
1.41,4,419,3,11,316,7,Pinkerton,Other
1.16,4,339,3,9,340,3,Gwen,Israel
0.87,4,189,3,7,190,6,Pinkerton,Spain
0.82,3,161,3,9,109,5,Gwen,Israel
0.8,3,105,3,7,86,24,Hass,Peru
0.69,2,63,3,5,64,34,Gwen,Chile
0.93,4,291,3,8,179,15,Pinkerton,Other
0.75,4,170,3,7,86,22,Gwen,Chile
0.71,3,195,4,9,196,10,Gwen,Other
1.15,3,299,4,8,300,16,Pinkerton,Chile
0.87,3,135,3,7,91,23,Hass,Peru
1.61,4,486,3,9,487,9,Reed,Chile
0.68,4,216,4,8,147,14,Pinkerton,South Africa
1.34,6,486,3,11,387,7,Gwen,Chile
0.6,2,89,3,6,90,34,Gwen,Other
1.02,4,281,3,9,282,6,Hass,UK
1.52,5,340,4,8,341,14,Gwen,Other
0.81,4,158,4,7,97,19,Hass,Peru
0.74,3,168,4,7,169,11,Pinkerton,South Africa
0.62,3,130,5,7,131,17,Reed,South Africa
1,5,282,4,7,239,20,Pinkerton,Chile
0.77,3,151,3,7,108,16,Pinkerton,South Africa
0.84,2,123,3,8,88,5,Reed,Spain
1.04,4,211,3,9,172,32,Gwen,Chile
0.68,3,308,4,7,162,21,Hass,Spain
0.96,2,149,4,7,120,40,Pinkerton,Other
0.8,3,212,3,7,213,7,Hass,Chile
0.98,4,318,3,9,319,6,Pinkerton,Peru
0.83,2,149,3,7,87,30,Pinkerton,Chile
0.72,3,193,4,8,194,18,Hass,Israel
1.45,4,277,3,10,278,7,Gwen,Peru
0.67,3,167,4,7,168,19,Gwen,South Africa
0.63,2,133,3,7,134,9,Hass,Chile
0.88,3,121,4,7,122,32,Hass,UK
0.8,3,119,4,7,104,26,Hass,Spain
0.95,2,154,4,7,83,25,Hass,Israel
1.69,4,403,3,10,404,5,Pinkerton,South Africa
0.93,4,243,4,8,159,13,Gwen,Israel
0.84,4,260,3,8,261,5,Pinkerton,South Africa
1.36,5,441,4,9,442,10,Gwen,Peru
0.67,4,133,3,7,134,24,Hass,Spain
0.95,3,190,5,7,96,23,Hass,Israel
0.68,2,110,4,7,111,23,Gwen,Peru
0.69,3,198,3,6,159,29,Pinkerton,Peru
1.07,3,240,3,9,241,6,Gwen,Chile
2.35,4,476,5,9,340,35,Hass,UK
1.19,4,318,3,10,319,5,Gwen,Peru
0.67,3,119,5,6,120,21,Pinkerton,Chile
0.59,2,63,3,6,64,26,Gwen,Other
0.87,5,253,3,8,153,5,Hass,Chile
0.63,4,169,4,5,170,30,Pinkerton,Other
0.66,2,94,3,6,95,23,Hass,Spain
1.05,2,124,4,7,125,23,Reed,Spain
0.98,4,304,3,7,305,6,Reed,Peru
1.79,6,605,3,11,606,6,Gwen,Spain
0.74,4,159,3,6,160,25,Gwen,Peru
0.99,3,250,3,9,251,12,Reed,Chile
0.66,3,178,3,7,133,14,Gwen,Peru
0.6,2,136,3,7,137,14,Gwen,UK
1.25,4,474,3,10,475,11,Pinkerton,Peru
0.56,3,101,4,7,102,19,Pinkerton,Chile
0.6,3,104,4,6,105,16,Reed,Chile
0.73,3,161,4,7,162,12,Hass,Chile
0.81,4,157,3,7,158,14,Hass,Peru
0.93,2,151,4,7,102,40,Gwen,Peru
0.64,3,136,3,7,137,9,Gwen,South Africa
0.72,4,197,3,8,198,7,Gwen,UK
2.24,3,540.3,4,12,541.3,15,Reed,Israel
0.67,4,156,3,7,157,6,Reed,Israel
0.7,4,232,4,8,228,16,Hass,Other
0.88,3,212,3,8,213,18,Hass,Spain
0.75,3,212,4,8,213,12,Pinkerton,Spain
1.2,4,335,3,11,336,11,Pinkerton,Peru
1.09,4,238,4,10,239,10,Hass,Chile
0.65,2,107,3,9,73,4,Reed,Israel
0.69,4,230,4,7,157,14,Hass,Other
0.61,2,132,4,6,133,26,Hass,Spain
1.03,3,218,4,7,115,25,Gwen,Spain
1.66,3,438,5,10,359,23,Pinkerton,Peru
0.81,3,179,3,7,180,24,Pinkerton,South Africa
0.65,2,75,4,6,76,26,Gwen,Other
0.76,3,130,5,7,131,21,Pinkerton,Other
